,Latitude,Longitude,quality2,quality1,A2_RSSI,quality2_std,quality1_std,A2_RSSI_std,past_dates,Date,PositionNoLeap,Disruption
1,47.29841834776132,8.12432464413758,0.9980645215627362,0.9913160066306973,2.439375,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-20,2021-06-21,337305,False
2,47.29841819179501,8.124324737417258,0.9990058686347245,0.9992639195661579,2.44,9.608794371592901e-05,0.00020629489572384738,0.09899494936611643,2021-06-19,2021-06-21,337305,False
3,47.29841819179501,8.12432473741726,0.9986242862923167,0.9705215569814923,2.51,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-18,2021-06-21,337305,False
4,47.29841777588484,8.12432498616307,0.996401497030489,0.9968006739266658,2.415,2.792506674929639e-05,1.579869305332486e-05,0.06363961030678918,2021-06-17,2021-06-21,337305,False
5,47.29841834776132,8.12432464413758,0.9980645215627362,0.9913160066306973,2.439375,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-16,2021-06-21,337305,False
6,47.29841923157041,8.124324115552731,0.9982264342934145,0.9986778760484732,2.3925,0.001676552338793373,0.0013613817157311313,0.08301606270274853,2021-06-15,2021-06-21,337305,False
0,47.31211349450231,8.051264178900462,0.9966603806815688,0.9889369064872469,2.59,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-21,2021-06-21,105785,False
1,47.31211349450231,8.051264178900462,0.9966603806815688,0.9889369064872469,2.59,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-20,2021-06-21,105785,False
2,47.31211238220686,8.051263956441373,0.9989021029517957,0.9991209357069295,2.6,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-19,2021-06-21,105785,False
3,47.31211238220686,8.051263956441371,0.9985748639411935,0.9647223870799015,2.61,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-18,2021-06-21,105785,False
4,47.31211772122502,8.051265024245003,0.9963072182470699,0.9967335249963644,2.57,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-17,2021-06-21,105785,False
5,47.3121114923705,8.0512637784741,0.9928573375862163,0.995170778165792,2.58,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-16,2021-06-21,105785,False
6,47.31211349450231,8.051264178900462,0.9966603806815688,0.9889369064872469,2.59,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-15,2021-06-21,105785,False
0,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-21,2021-06-21,412979,True
1,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-20,2021-06-21,412979,True
2,47.2531749210316,8.184087403044561,0.9989521824935693,0.9991701864917373,2.51,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-19,2021-06-21,412979,True
3,47.25317358094894,8.184087604143517,0.9969313207834565,0.9792756291443139,2.4699999999999998,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-18,2021-06-21,412979,True
4,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-17,2021-06-21,412979,True
5,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-16,2021-06-21,412979,True
6,47.2531686673125,8.184088341506357,0.9993087393642436,0.9969479207071841,2.51,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-15,2021-06-21,412979,True
